kata,terjemahan,penjelasan_arti,contoh
Seratte,Bersamaan / besertaan,,
Suguhe',Suguhi / tawari,,
Singka',Tidak seimbang,,
Sega'k,Keren,,
Tambol,Kue,,
Tampah,Tawari / minta,,
Tampahkan,Promosikan,,
Taem (time),Berhenti / selesai,,
Tae'k,Tahi,,
Tilepet,Rusak terinjak,,
Tongkang,Perahu besar,,
Tullah,Sial,,
Tolen,Selalu,,
Terompah,Sandal kayu,,
Terompah,Mainan engkrak,,
Tungkup / tetungkup,Telungkup / tutup / ditutupi,,
Tebadus,Perut yang kelebihan muatan,,
Tanggal garang,Cukup umur / siap di khitan (u/ pria),,
Teconom,Termenung,,
Tebajju'k,Cemberut,,
Tebelissak,Terbuka {negative dan kasar},,
Takarran,Ukuran,,
Tebuang,Jatuh dari ketinggian,,
Tekajong,Membujurkan kaki,,
Tikengkang,Duduk yang ngangkang,,
Tirau,Pantau,,
Tibajjul,Mata seperti keluar,,
Tecinnat,Mata melotot,,
Tinting,Bidik,,
Tappor,Sembunyi,,
Tibaya'k / tebaya'k (terbanyak),Banyak sekali,,
Tulle'k (pakkak),Pekak {kasar},,
Tibelassong,Lubangnya terlalu besar {kasar},,
Temille'k,Buah ubi rambat,,
Te eng',Tadi {halus},,
Terakkam,Terkam (bukan rekaman),,
Teporok,Terperosok dalam lumpur,,
Tehel,Ubin porselin,,
Tuloikan,Ikutkan apa maunya,,
Tang,Kok,,
Tongpan,Anak hasil kawin campur,,
Taggeradak / ka'gedak,Mendadak,,
